,full address,NPI,Site Name,Address,Room/Suite,Town/City,CountyFIPS,County Name,State,Zip Code,Latitude,Longitude,Area code,Phone number,Designated Service,License Number/Facility Operating Certificate,PFI,Medicaid Provider Identification Number,Commercial Provider Indicator,Medicaid Provider Indicator,CHP Indicator,HARP Indicator,Medicaid Advantage Indicator,Partial CAPS Indicator,MAP Indicator,PACE Indicator,FIDA Indicator,FIDAIDD Indicator,HIVSNP Indicator=,SIP-PL Indicator,NYSOH Standard Essential Health Plan (EP) Indicator/Basic Health Program Indicator,NYSOH EP Plus Adult Vision/Dental Indicator/Basic Health Program Adult Indicator,Commercial Non-MCO Medical Indicator 1,Commercial Non-MCO Medical Indicator 2,Commercial Non-MCO Medical Indicator 3,Commercial Non-MCO Medical Indicator 4,Commercial Non-MCO Medical Indicator 5,Commercial Non-MCO Medical Indicator 6,Commercial Non-MCO Medical Indicator 7,Commercial Non-MCO Medical Indicator 8,Service 1,Service 2,Service 3,Service 4,Service 5,Service 6,Service 7,Service 8,Service 9,Service 10,Service 11,Service 12,Service 13,Service 14,Service 15,Service 16,Service 17,Service 18,Service 19,Service 20,Service 21,Service 22,Service 23,Service 24,Service 25,NYSoH Medical Network Indicator 1,NYSoH Medical Network Indicator 2,NYSoH Medical Network Indicator 3,NYSoH Medical Network Indicator 4,NYSoH Medical Network Indicator 5,NYSoH Medical Network Indicator 6,NYSoH Medical Network Indicator 7,NYSoH Medical Network Indicator 8,NYSoH Medical Network Indicator 9,Servicing County 1,Servicing County 2,Servicing County 3,Servicing County 4,Servicing County 5,OASAS Program Reporting Unit Number,OASAS Provider Number,OMH ID,Plan Name,Provider Network Data System Identification Number,Quarter/Year,geometry,type
434,"2844 OCEAN PKWY, BROOKLYN, NY 11235",1831203132,MMC GERIATRIC MEDICINE FPP,2844 OCEAN PKWY,,BROOKLYN,36047,Kings,NY,11235,40.580074,-73.968127,718,2838773,823,,,99999999,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"UnitedHealthcare of New York, Inc.",148,Quarter 1 2021,POINT (302698.61749044823 45907.4675998435),NPI-2
435,"2857 W 8TH ST Ste 200, BROOKLYN, NY 11224",1972012540,NYU LANGONE URGENT CARE WEST SIDE,2857 W 8TH ST,Ste 200,BROOKLYN,36047,Kings,NY,11224,40.578305,-73.976104,929,4553060,823,99999999,999999,99999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"UnitedHealthcare of New York, Inc.: QHP",149,Quarter 1 2021,POINT (302023.27894762176 45710.80907678703),NPI-2
436,"288 FLATBUSH AVE City Medical of Pros, BROOKLYN, NY 11217",1487061206,"CITY MEDICAL OF UPPER EAST SIDE, PLLC DBA CITYMD U",288 FLATBUSH AVE,City Medical of Pros,BROOKLYN,36047,Kings,NY,11217,40.678424,-73.973574,718,6561290,823,99999999,999999,99999999,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,823,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"MetroPlus Health Plan, Inc. (HIV/SNP)",95,Quarter 1 2021,POINT (302234.1206303774 56828.80634459294),NPI-2
438,"29 W 34TH ST FL 4, NEW YORK, NY 10001",1669412847,OUR LADY OF MERCY/ER PHYSICIANS,29 W 34TH ST,FL 4,NEW YORK,36061,New York,NY,10001,40.749276,-73.986163,718,9209000,914,,,99999999,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"UnitedHealthcare of New York, Inc.",148,Quarter 1 2021,POINT (301168.5540051575 64696.55689712757),NPI-2
439,"2902 3RD AVE City Medical -The Hu, BRONX, NY 10455",1063926129,"CITY MEDICAL OF UPPER EAST SIDE, PLLC DBA CITYMD U",2902 3RD AVE,City Medical -The Hu,BRONX,36005,Bronx,NY,10455,40.816911,-73.916093,718,5719276,823,99999999,999999,99999999,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,823,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"MetroPlus Health Plan, Inc. (HIV/SNP)",95,Quarter 1 2021,POINT (307078.9840430438 72210.66465028036),NPI-2
441,"291 3RD AVE, NEW YORK, NY 10010",1285975797,GRAMERCY PARK URGENT CARE,291 3RD AVE,,NEW YORK,36061,New York,NY,10010,40.738448,-73.983205,646,9984126,823,0,999999,6106376,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,Partners Health Plan,78,Quarter 1 2021,POINT (301418.5988432053 63494.16461587301),NPI-2
442,"2911 BARKLEY AVE, BRONX, NY 10465",1134137573,THROGGS NECK WALK IN CARE,2911 BARKLEY AVE,,BRONX,36005,Bronx,NY,10465,40.83131,-73.826218,718,5975800,823,99999999,999999,99999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"UnitedHealthcare of New York, Inc.: QHP",149,Quarter 1 2021,POINT (314658.31508791936 73820.83402045986),NPI-2
444,"2960 VICTORY BLVD, STATEN ISLAND, NY 10314",1285975797,BULLS HEAD URGENT CARE,2960 VICTORY BLVD,,STATEN ISLAND,36085,Richmond,NY,10314,40.607142,-74.161247,718,3702014,823,99999999,999999,6106376,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,Partners Health Plan,78,Quarter 1 2021,POINT (286353.19259503245 48925.32919784253),NPI-2
445,"3 COLUMBUS CIR, NEW YORK, NY 10019",1366535494,MINUTECLINIC DIAGNOSTICS OF NEW YORK,3 COLUMBUS CIR,,NEW YORK,36061,New York,NY,10019,40.767551,-73.982122,866,3892727,823,99999999,999999,99999999,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,999,999,999,999,999,,,,"Health Insurance Plan of Greater New York, Inc.",50,Quarter 1 2021,POINT (301509.41447883396 66726.03222154567),NPI-2
446,"300 CADMAN PLZ W 18TH FLOOR, BROOKLYN, NY 11201",1760733190,MT. SINAI BROOKLYN HEIGHTS URGENT,300 CADMAN PLZ W,18TH FLOOR,BROOKLYN,36047,Kings,NY,11201,40.695114,-73.991061,929,2106000,999,,0,99999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,Consolidated Health Plans: MagnaCare,169,Quarter 1 2021,POINT (300755.5272220539 58681.89522622046),NPI-2
449,"301 E 17TH ST, NEW YORK, NY 10003",1275632895,NYU LANGONE ORTHOPEDIC HOSPITAL,301 E 17TH ST,,NEW YORK,36061,New York,NY,10003,40.734141,-73.982875,212,5986000,11,7002053H,1446,243389,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,899,20,250,300,301,302,358,599,670,760,993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,Centers Plan for Healthy Living LLC,96,Quarter 1 2021,POINT (301446.5672171108 63015.88341707304),NPI-2
450,"308 GRAHAM AVE, BROOKLYN, NY 11211",1336426667,STATCARE URGENT & WALKIN MED,308 GRAHAM AVE,,BROOKLYN,36047,Kings,NY,11211,40.712978,-73.943932,855,9367362,823,99999999,999999,99999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,Jefferson-Lewis Et. Al. School Employees’ Healthcare Plan DBA Jefferson Lewis Choice Plus Network,212,Quarter 1 2021,POINT (304737.6779895834 60667.14507821381),NPI-2
451,"3080 ATLANTIC AVE, BROOKLYN, NY 11208",1477505220,JAMAICA HOSPITAL/ER DEPT,3080 ATLANTIC AVE,,BROOKLYN,36047,Kings,NY,11208,40.678718,-73.881262,718,6470240,914,7003001H,,1616320,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"UnitedHealthcare of New York, Inc.",148,Quarter 1 2021,POINT (310038.3939332798 56867.9372564653),NPI-2
452,"310 E 14TH ST, NEW YORK, NY 10003",1245251222,NEW YORK EYE & EAR INFIRMARY,310 E 14TH ST,,NEW YORK,36061,New York,NY,10003,40.732114,-73.984763,212,9794000,11,7002026H,1460,243476,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,760,135,200,250,281,300,302,311,321,325,521,599,640,680,715,716,781,899,903,915,919,0,937,951,952,1,1,1,0,0,0,0,0,0,999,999,999,999,999,,,,"Health Insurance Plan of Greater New York, Inc.",50,Quarter 1 2021,POINT (301287.12313419714 62790.758135167416),NPI-2
453,"3101 DITMARS BLVD, ASTORIA, NY 11105",1366535494,MINUTECLINIC DIAGNOSTICS OF NEW YORK,3101 DITMARS BLVD,,ASTORIA,36081,Queens,NY,11105,40.776135,-73.910445,866,3892727,823,99999999,999999,99999999,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,999,999,999,999,999,,,,"Health Insurance Plan of Greater New York, Inc.",50,Quarter 1 2021,POINT (307560.1210485152 67682.99529138565),NPI-2
454,"3111 STEINWAY ST City Medical of Asto, ASTORIA, NY 11103",1972924835,"CITY MEDICAL OF UPPER EAST SIDE, PLLC DBA CITYMD U",3111 STEINWAY ST,City Medical of Asto,ASTORIA,36081,Queens,NY,11103,40.760932,-73.917189,718,4752345,823,99999999,999999,99999999,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,823,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,1,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"MetroPlus Health Plan, Inc.",66,Quarter 1 2021,POINT (306992.39588828635 65994.16051995679),NPI-2
456,"315 W 57TH ST City Medical of Colu, NEW YORK, NY 10019",1205111846,"CITY MEDICAL OF UPPER EAST SIDE, PLLC DBA CITYMD U",315 W 57TH ST,City Medical of Colu,NEW YORK,36061,New York,NY,10019,40.767326,-73.983915,212,3152230,823,99999999,999999,99999999,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,823,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"MetroPlus Health Plan, Inc. (HIV/SNP)",95,Quarter 1 2021,POINT (301358.0362412247 66701.01667732999),NPI-2
458,"318 E 23RD ST, NEW YORK, NY 10010",1669578324,NYU LANGONE ORTHOPEDIC HOSPITAL,318 E 23RD ST,,NEW YORK,36061,New York,NY,10010,40.737467,-73.980272,212,5982378,11,7002053H,1463,99999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,999,995,993,927,916,901,899,302,604,304,302,301,300,241,200,192,131,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,Consolidated Health Plans: Cigna,168,Quarter 1 2021,POINT (301666.364695834 63385.27787751778),NPI-2
459,"32 WESTCHESTER SQ, BRONX, NY 10461",1033612437,CITY MEDICAL OF UPPER EAST SIDE,32 WESTCHESTER SQ,,BRONX,36005,Bronx,NY,10461,40.841689,-73.843895,646,6616668,823,99999999,999999,99999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,Jefferson-Lewis Et. Al. School Employees’ Healthcare Plan DBA Jefferson Lewis Choice Plus Network,212,Quarter 1 2021,POINT (313165.2248567867 74970.6098177415),NPI-2
460,"3200 GRAND CONCOURSE, BRONX, NY 10458",1841607298,ESSEN MED URGICARE PLLC,3200 GRAND CONCOURSE,,BRONX,36005,Bronx,NY,10458,40.876803,-73.885168,718,5613200,823,0,999999,99999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,Empire BC/ Empire BCBS/ Empire HealthChoice HMO Inc,57,Quarter 1 2021,POINT (309679.3203648647 78864.64144177035),NPI-2
461,"3201 KINGS HWY, BROOKLYN, NY 11234",1174768071,MOUNT SINAI BETH ISRAEL BROOKLYN,3201 KINGS HWY,,BROOKLYN,36047,Kings,NY,11234,40.618057,-73.943273,718,2523000,11,7002002H,1324,99999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,899,20,64,80,110,160,200,201,202,206,210,599,620,653,901,913,993,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"Oxford Health Plans (NY), Inc.: Metro",143,Quarter 1 2021,POINT (304800.2049259731 50126.42938772877),NPI-2
462,"3224 GRAND CONCOURSE, BRONX, NY 10458",1669729117,BRONX LEBANON HSP/EM DEPT,3224 GRAND CONCOURSE,,BRONX,36005,Bronx,NY,10458,40.877273,-73.884953,718,9927669,914,6057001A,,4099529,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"UnitedHealthcare of New York, Inc.",148,Quarter 1 2021,POINT (309697.37442520284 78916.85908215615),NPI-2
463,"3231 E TREMONT AVE, BRONX, NY 10461",1134137573,DWELL FAMILY DOCTOR,3231 E TREMONT AVE,,BRONX,36005,Bronx,NY,10461,40.835891,-73.833054,718,5975800,250,99999999,999999,99999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,Aetna Life Insurance Company: Savings Plus with Managed Pharmacy,225,Quarter 1 2021,POINT (314080.7362090989 74328.43044208984),NPI-2
464,"324 E 23RD ST, NEW YORK, NY 10010",1669578324,NYU LANGONE ORTHOPEDIC HOSPITAL,324 E 23RD ST,,NEW YORK,36061,New York,NY,10010,40.737277,-73.979816,212,5986321,11,7002053H,1446,99999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,995,993,927,916,901,899,302,604,304,302,301,300,241,200,192,131,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,Consolidated Health Plans: Cigna,168,Quarter 1 2021,POINT (301704.8870221625 63364.18746219148),NPI-2
465,"3245 NOSTRAND AVE, BROOKLYN, NY 11229",1861654352,KINGS HIGHWAY MEDICAL OFFICE,3245 NOSTRAND AVE,,BROOKLYN,36047,Kings,NY,11229,40.604891,-73.942555,718,6153777,823,,,99999999,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,999,999,999,999,999,,,,"Health Insurance Plan of Greater New York, Inc.",50,Quarter 1 2021,POINT (304861.9226106146 48664.424946937266),NPI-2
466,"326 E 149TH ST, BRONX, NY 10451",1467826594,S I URGENT CARE PC,326 E 149TH ST,,BRONX,36005,Bronx,NY,10451,40.816661,-73.920728,718,5856100,914,,,99999999,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,Centers Plan for Healthy Living LLC,96,Quarter 1 2021,POINT (306687.9668246996 72182.53732755041),NPI-2
467,"327 BEACH 19TH ST, FAR ROCKAWAY, NY 11691",1346274537,ST JOHNS EPISCOPAL HOSPITAL,327 BEACH 19TH ST,,FAR ROCKAWAY,36081,Queens,NY,11691,40.598585,-73.752902,718,8697000,11,7001024H,1635,99999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,899,20,75,80,92,110,114,153,161,170,200,210,300,301,302,599,640,650,811,901,906,911,913,966,993,1,0,0,0,0,0,0,0,0,999,999,999,999,999,9999999999,9999999999,9999999999,"UnitedHealthcare of New York, Inc.: QHP",149,Quarter 1 2021,POINT (320915.34886091313 47992.11359724836),NPI-2
469,"3274 STEINWAY ST FL GROUND, ASTORIA, NY 11103",1851686273,ASTORIA URGENT MEDICAL CARE,3274 STEINWAY ST,FL GROUND,ASTORIA,36081,Queens,NY,11103,40.75811,-73.91991,718,7210101,250,99999999,999999,99999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,Aetna Life Insurance Company: Savings Plus with Managed Pharmacy,225,Quarter 1 2021,POINT (306762.9259643275 65680.56745379834),NPI-2
472,"33 W 42ND ST, NEW YORK, NY 10036",1205868528,SUNY DOWNSTATE MED CENTER,33 W 42ND ST,,NEW YORK,36061,New York,NY,10036,40.754395,-73.982674,212,9384001,914,7142,,4075554,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"UnitedHealthcare of New York, Inc.",148,Quarter 1 2021,POINT (301463.0982102586 65265.0671798732),NPI-2
473,"330 7TH AVE, NEW YORK, NY 10001",1023673217,CITY MED OF UPPER E SIDE,330 7TH AVE,,NEW YORK,36061,New York,NY,10001,40.747626,-73.993304,646,6471263,823,0,999999,99999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,Empire BC/ Empire BCBS/ Empire HealthChoice HMO Inc,57,Quarter 1 2021,POINT (300565.48886949616 64513.25468981713),NPI-2
474,"330 COURT ST, BROOKLYN, NY 11231",1285975797,CARROLL GARDENS URGENT CARE,330 COURT ST,,BROOKLYN,36047,Kings,NY,11231,40.682881,-73.995839,718,6251600,823,99999999,999999,6106376,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,Partners Health Plan,78,Quarter 1 2021,POINT (300351.74944592314 57323.41415842998),NPI-2
476,"330 W 42ND ST, NEW YORK, NY 10036",1316452568,MEDRITE URGENT CARE,330 W 42ND ST,,NEW YORK,36061,New York,NY,10036,40.757701,-73.991285,212,6954444,823,99999999,999999,99999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"UnitedHealthcare of New York, Inc.: QHP",149,Quarter 1 2021,POINT (300735.89206867653 65632.08447133769),NPI-2
477,"331 AVENUE OF THE AMERICAS City Medical of West, NEW YORK, NY 10014",1922530435,"CITY MEDICAL OF UPPER EAST SIDE, PLLC DBA CITYMD U",331 AVENUE OF THE AMERICAS,City Medical of West,NEW YORK,36061,New York,NY,10014,40.731485,-74.001323,212,2192659,823,99999999,999999,99999999,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,823,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,1,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"MetroPlus Health Plan, Inc.",66,Quarter 1 2021,POINT (299888.2191668285 62720.794947311435),NPI-2
479,"331 KINGS HWY, BROOKLYN, NY 11223",1114011210,SOUND EMERGENCY PHYSICIANS  DBA: ERDOX,331 KINGS HWY,,BROOKLYN,36047,Kings,NY,11223,40.605026,-73.977862,718,9753774,823,99999999,999999,1612413,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,999,999,999,999,999,,,,"Health Insurance Plan of Greater New York, Inc.",50,Quarter 1 2021,POINT (301873.6746115794 48678.050662830356),NPI-2
480,"3311 STEINWAY ST, ASTORIA, NY 11103",1255742342,CITYMD URGENT CARE,3311 STEINWAY ST,,ASTORIA,36081,Queens,NY,11103,40.757595,-73.919904,718,4752345,823,99999999,999999,99999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"Oxford Health Plans (NY), Inc.: Metro",143,Quarter 1 2021,POINT (306763.4849225349 65623.37791483145),NPI-2
481,"332 E 149TH ST, BRONX, NY 10451",1497159560,AFC URGENT CARE,332 E 149TH ST,,BRONX,36005,Bronx,NY,10451,40.816607,-73.920524,347,3294010,823,99999999,8888,99999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,823,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,1,1,1,0,0,0,0,0,0,999,999,999,999,999,,,,Oscar Insurance Corp.,75,Quarter 1 2021,POINT (306705.1832573962 72176.55627775397),NPI-2
483,"336 E 86TH ST City Medical of Uppe, NEW YORK, NY 10028",1730491945,"CITY MEDICAL OF UPPER EAST SIDE, PLLC DBA CITYMD U",336 E 86TH ST,City Medical of Uppe,NEW YORK,36061,New York,NY,10028,40.777195,-73.950481,212,7723627,823,99999999,999999,5588436,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,823,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,1,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"MetroPlus Health Plan, Inc.",66,Quarter 1 2021,POINT (304180.2554858449 67798.0187271396),NPI-2
485,"339 E 38TH ST # 1, NEW YORK, NY 10016",1669578324,NYU LANGONE ORTHOPEDIC HOSPITAL,339 E 38TH ST,# 1,NEW YORK,36061,New York,NY,10016,40.746771,-73.972408,212,2631515,11,7002053H,1446,99999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,995,993,927,916,901,899,302,604,304,302,301,300,241,200,192,131,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,Delaware American Life Insurance Company: Cigna,140,Quarter 1 2021,POINT (302330.2942275628 64418.655939044525),NPI-2
487,"339 HICKS ST, BROOKLYN, NY 11201",1306837398,NYU EMERGENCY MEDICI NE ASSOCIACIAT,339 HICKS ST,,BROOKLYN,36047,Kings,NY,11201,40.690968,-73.997698,718,4233712,250,7001037H,,88888888,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"Healthfirst Health Plan, Inc. / Healthfirst PHSP, Inc.",52,Quarter 1 2021,POINT (300194.56954087585 58221.45292830317),NPI-2
489,"341 EASTERN PKWY, BROOKLYN, NY 11216",1336426667,STATCARE URGENT & WALKIN MED,341 EASTERN PKWY,,BROOKLYN,36047,Kings,NY,11216,40.670862,-73.957267,516,9381550,823,99999999,999999,99999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,Jefferson-Lewis Et. Al. School Employees’ Healthcare Plan DBA Jefferson Lewis Choice Plus Network,212,Quarter 1 2021,POINT (303613.17195906345 55989.61033882875),NPI-2
490,"3424 KOSSUTH AVE RM 1B01, BRONX, NY 10467",1023024882,NORTH CENTRAL BRONX HOSPITAL,3424 KOSSUTH AVE,RM 1B01,BRONX,36005,Bronx,NY,10467,40.880575,-73.881404,718,5796021,914,31339,1186,246171,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,006358110A,"UnitedHealthcare of New York, Inc.",148,Quarter 1 2021,POINT (309996.02552300395 79283.9481463111),NPI-2
492,"3448 NOSTRAND AVE, BROOKLYN, NY 11229",1013252055,HEWLETT URGENT CARE PLLC DBA URGENT,3448 NOSTRAND AVE,,BROOKLYN,36047,Kings,NY,11229,40.599879,-73.941973,718,7171120,823,99999999,999999,4930347,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,New York Quality Healthcare Corporation,44,Quarter 1 2021,POINT (304911.550300529 48107.890727396414),NPI-2
